,Age,Gender,AcademicStatus,TypeSocialMedia,HoursSMuse,FrqUse,SMCap_1,SMCap_2,EduOutcome,PerformanceExpentancy,EasyofUse,EffortExpentancy,SocialInfuence,SocialMediaRisk,FacilitatingConditions,SelfControl,BehaviouralIntentiontoUse,VountarinessofUse,Experience
13,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
14,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
15,18 - 24,Female,Student - Full time,Twitter,Less than an hour,Often,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
16,18 - 24,Male,Non Students,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
17,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
18,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
19,18 - 24,Male,Student - Full time,Instagram,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
20,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
21,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
22,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
23,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Often,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
24,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Rarely,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
25,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
26,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
27,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
28,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Rarely,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
29,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
30,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
31,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
32,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
33,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Sometimes,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
34,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,yes
35,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,yes
36,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Often,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,no
37,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,no
38,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Rarely,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,yes
39,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,no
40,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Rarely,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
41,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
42,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,no
43,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Rarely,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,no
44,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
45,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
46,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,yes
47,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
48,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,no
49,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,no
50,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,yes
51,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,yes
52,18 - 24,Female,Student - Full time,Facebook,Less than an hour,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,no
53,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
54,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,no
55,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,yes
56,18 - 24,Female,Student - Full time,YouTube,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,yes
57,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,yes
58,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes
59,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
60,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
61,25-34,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
62,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,no
63,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Often,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,no
64,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Often,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,yes
65,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,no
66,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,yes
67,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,yes
68,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,no
69,18 - 24,Male,Student - Full time,YouTube,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,no
70,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
71,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,yes
72,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes
73,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,no
74,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,yes
75,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
76,25-34,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,no
77,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,yes
78,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree,yes
79,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
80,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
81,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,yes
82,18 - 24,Female,Student - Full time,Twitter,More than 5 hours,Often,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,no
83,18 - 24,Female,Student - Full time,YouTube,1-3 hours,Always,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
84,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Rarely,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
85,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,no
86,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,yes
87,18 - 24,Female,Student - Part time or Distance Learning,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,yes
88,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,yes
89,25-34,Male,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,yes
90,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,yes
91,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,yes
92,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Rarely,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,yes
93,18 - 24,Male,Student - Full time,Whatsapp,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,yes
94,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,no
95,18 - 24,Male,Student - Full time,Instagram,More than 5 hours,Always,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,yes
96,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Rarely,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,yes
97,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,no
98,25-34,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,no
99,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,yes
100,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,no
101,18 - 24,Female,Student - Full time,Facebook,Less than an hour,Always,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,yes
102,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Rarely,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,yes
103,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,no
104,18 - 24,Female,Non Students,Facebook,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,yes
105,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,yes
106,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,no
107,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,no
108,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Always,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,yes
109,18 - 24,Female,Student - Full time,Whatsapp,1-3 hours,Rarely,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,no
110,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Always,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,no
111,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,no
112,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,yes
113,18 - 24,Female,Student - Full time,Facebook,Less than an hour,Often,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,yes
114,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Never,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,yes
115,18 - 24,Male,Student - Full time,Instagram,More than 5 hours,Rarely,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,yes
116,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Rarely,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,yes
117,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,yes
118,18 - 24,Male,Student - Full time,YouTube,Less than an hour,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,no
119,25-34,Male,Student - Full time,Facebook,Less than an hour,Often,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
120,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Rarely,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,no
121,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,no
122,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Always,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,no
123,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
124,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,yes
125,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Sometimes,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Agree,no
126,more than 35,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,yes
127,18 - 24,Male,Non Students,Facebook,3-5 hours,Always,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,yes
128,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Rarely,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,no
129,18 - 24,Male,Student - Full time,Whatsapp,Less than an hour,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,no
130,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,no
131,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Always,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,no
132,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Sometimes,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,no
133,18 - 24,Male,Student - Full time,Instagram,3-5 hours,Always,Neutral,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,yes
134,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Often,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,no
135,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Rarely,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no
136,18 - 24,Female,Student - Full time,Facebook,More than 5 hours,Sometimes,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,no
137,18 - 24,Male,Student - Full time,YouTube,More than 5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,yes
138,18 - 24,Female,Student - Full time,Facebook,3-5 hours,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,yes
139,18 - 24,Male,Student - Full time,Facebook,More than 5 hours,Often,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,yes
140,18 - 24,Male,Student - Full time,Facebook,1-3 hours,Sometimes,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,no
141,18 - 24,Male,Student - Full time,Facebook,3-5 hours,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,no
142,18 - 24,Male,Student - Full time,Facebook,Less than an hour,Sometimes,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,no
143,18 - 24,Female,Student - Full time,Facebook,1-3 hours,Often,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,yes
144,18 - 24,Female,Student - Full time,Facebook,Less than an hour,Always,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,yes
